Date	AIG	AmerExp	ATT	Boeing	Disney	DuPont	GenMotor	HomeDepot	HP	IBM	JPMorgan	McDonald	Merck	Microsoft	Verison	Walmart
15-Feb-00	0.029277069	0.003543743	0.004515352	-0.032524964	0.001422475	-0.025093551	0.009335917	-0.041993379	0.050156041	-0.01173542	0.025121385	0.039227895	-0.001926411	-0.009497336	0.01488436	-0.090549766
16-Feb-00	-0.025266169	-0.039505628	0.013185496	0.00678266	-0.011931818	-0.015353353	-0.008376963	-0.048017461	-0.022925069	0.0086362	-0.019151565	-0.011983223	-0.034356302	0.020579981	-0.023691336	-0.082773607
17-Feb-00	-0.014672318	-0.013097426	-0.011535049	-0.040128881	-0.027314549	-0.016509975	-0.004927842	-0.013756209	0.007820986	-0.036389583	-0.014276716	-0.010309278	-0.019788127	-0.045829514	-0.034897157	-0.012922679
18-Feb-00	-0.034248842	-0.006519208	-0.040095751	0.079951175	-0.059710316	0.048262998	-0.001768659	-0.002130957	-0.007760293	-0.013328397	-0.046219382	-0.015931373	0.056484502	-0.013208453	0.007183908	0.007855117
22-Feb-00	-0.030152476	0.003280994	0.010910224	-0.044927946	0.022320025	-0.017348754	-0.008504607	0.021937488	0.021507712	-0.020262664	0.033497097	-0.030510585	-0.036093418	0.004623996	-0.03827865	-0.023381684
23-Feb-00	-0.014485073	0.03316982	-0.004625347	-0.015384615	-0.027367774	-0.006790403	0.030914939	-0.031914894	-0.009570396	0.016085791	0.001512532	-0.003532434	-0.018021626	0.005329457	-0.044746601	0.018621148
24-Feb-00	-0.027782757	-0.033235361	-0.039962825	0.034254808	-0.06607651	-0.02620784	0.023920957	-0.001177394	-0.03779257	-0.022615907	-0.017691478	-0.011279407	-0.029159869	-0.036144578	-0.009057971	-0.070511425
25-Feb-00	0.006084071	-0.038353601	0.023878671	-0.021499128	0.056533514	0.007488884	0.008295243	0.071905697	0.034367329	-0.032394909	-0.001537448	0.011408083	0.02289435	0.00275	0.048576652	0.037930227
28-Feb-00	0.042697453	-0.065418288	-0.043807123	-0.001484561	0.038128805	-0.026713124	-0.02098724	0.012096774	0.043581446	-0.016739737	0.027276727	-0.037060909	0	-0.023934181	-0.01867995	0.055492894
29-Feb-00	0.014235501	0.006245121	-0.045484509	-0.017246506	0.02037037	-0.042004773	-0.023838107	-0.032415791	-0.006615671	-0.024422375	0.021413276	-0.005689424	-0.02073922	0.016091954	0.122588832	0.005129301
1-Mar-00	0.013342575	-0.065425394	-0.027624309	-0.009984871	-0.005444646	-0.030891878	-0.004216444	-0.008983717	0.002913632	0.028669367	0.029979036	-0.02928307	-0.012581254	0.028154852	0.005652272	0.031681905
2-Mar-00	-0.028556772	-0.04039845	-0.001775568	0	0.057785888	0.08251928	0.026111503	-0.011520302	0.034446981	0.047359386	-0.01750458	-0.011789182	-0.029517944	0.029339853	0.000899281	0.041014015
3-Mar-00	0.004224608	0.063148789	0.044112416	-0.022616137	-0.013513514	-0.019710283	0.005845942	-0.011272449	0.056770311	-0.045796375	0.006836544	0.003859649	-0.01750547	-0.057244656	0.030772686	-0.040388042
6-Mar-00	-0.029973707	0.011662598	0.02044293	-0.01094434	0	-0.069282946	-0.022905983	-0.027246377	-0.023917995	-0.000505204	0.028600823	0.020272632	-0.045211581	0.024943311	-0.024188276	-0.058386631
7-Mar-00	-0.039031442	0.009919571	0.112520868	-0.039203288	-0.029437482	0.013794898	0.015920224	0.00238379	-0.014780241	0.031540639	-0.019603921	-0.015758822	0.053184045	0.029006883	0.015631979	0.015775635
8-Mar-00	0.018992102	-0.014335015	0.077430972	0.010858835	0.037237237	-0.010783055	0.023936628	0.053507729	0.07816818	0.016464132	-0.034278719	-0.012182388	0.075968992	0.046344959	0.037818821	0.013157895
9-Mar-00	-0.000738144	-0.000538648	0.006685237	-0.040364583	-0.030689056	-0.010641059	0.003195425	-0.032731377	-0.032588795	-0.025453143	0.026832876	0.046863989	-0.025524907	0.010045662	-0.022669492	-0.020438578
10-Mar-00	0.000738689	-0.031797359	-0.047869397	0.007462687	-0.005376344	0.054302204	0	-0.009334889	-0.003028009	0.02314998	-0.029835391	-0.023224504	-0.043092522	-0.029611212	-0.001951008	-0.005216257
13-Mar-00	0.039306145	-0.022265516	-0.03458297	0.013131313	-0.023423423	-0.012938542	-0.022464376	-0.012956419	-0.046127563	0.008605686	0.017391304	-0.05341144	-0.008830022	-0.029350105	-0.019765421	0.001310902
14-Mar-00	-0.005859375	-0.028750356	-0.00602047	0.05516783	0.0199877	0.05898664	0.036014406	0.089697693	-0.055323383	-0.014859553	-0.013341672	0.029122679	0.058797327	0.002399808	0	0.079860353
15-Mar-00	0.066261832	0	-0.001514234	0.021417323	0.014470907	0.056653178	0.062737957	0.078846505	0.007583737	0.018684313	0.052186774	0.040679165	0.086663862	0	0.032350986	0.060820368
16-Mar-00	0.092964824	0.032239156	0.010615711	0.066604995	0.042496285	-0.017571525	-0.043302181	0.02740653	0.045159941	0.009170806	0.084136546	-0.007817811	-0.034649632	0.042135504	0.022751663	0.020380952
17-Mar-00	-0.02559387	-0.001135718	0.040216086	-0.026308182	0.071265678	0.039440495	0.010908499	0.00708052	0.037007401	0.024990534	0.009816633	0.021582734	-0.017846401	-0.020215943	-0.001049318	-0.011013627
20-Mar-00	0.016671909	0.014781126	-0.035776111	-0.011876485	-0.006120277	-0.012574454	-0.009985505	-0.002125572	-0.014660494	0.006649427	-0.048789435	-0.059691482	0.037566354	0.055334115	-0.004201681	0.027180068
21-Mar-00	0.015160891	0.034733894	0.008976661	-0.008413462	0.033199465	-0.033735478	0.019521718	-0.006881861	0.030344558	0.006605505	0.06286155	0.065620542	0.007870917	0.004887803	-0.017088608	-0.022050717
22-Mar-00	-0.009905517	0.081754196	0.06168446	-0.030909091	0.026431718	0.055260116	0.064145524	0.016828906	0.007220217	0.008749544	-0.004716981	0.048192771	-0.024209293	0.083351758	0.030264005	-0.024990605
23-Mar-00	0.048329998	-0.001001001	0.013687151	0.024702939	-0.003029538	-0.003505697	-0.01874344	0.003894207	-0.033012639	0.046620889	0.075647102	-0.00734355	-0.018007203	-0.001632653	-0.002083333	0.027751012
24-Mar-00	0.031713405	-0.011272545	-0.028658033	0.031431187	0.00759686	-0.019349164	-0.004278729	0	0.026726492	0.05179558	-0.023385867	0.022193631	-0.010187449	-0.068274734	0.018997912	-0.00112507
27-Mar-00	-0.032588587	0.027362554	0.018439716	0.023372781	-0.019602915	-0.016143498	-0.012430939	-0.005818652	-0.037621129	-0.034471438	-0.015616866	0.019823789	0.007204611	0.002413339	-0.002253637	-0.016895063
28-Mar-00	0.001912327	0.012823674	-0.042896936	-0.00318011	-0.003076134	0	-0.035120435	0.070395058	-0.04047384	-0.028561714	-0.004583113	0	0.039648477	0.02757715	0.024845996	0.077907199
29-Mar-00	0.020408163	0.055758461	0.005820722	0.019721578	-0.013628182	0.016408387	0.010790788	-0.021871203	-0.031481481	0.031501575	-0.041260846	-0.00185128	0.000786318	-0.035569755	-0.012021639	0.00425155
30-Mar-00	0.021151079	-0.002306273	-0.013020833	-0.021046644	0.024765381	-0.015022422	0.011472275	-0.03742236	0.01380922	-0.035629454	-0.037310676	-0.010819165	-0.030053035	0.027826855	-0.002027986	-0.042335509
31-Mar-00	0.007467944	-0.033055941	0.004397537	-0.016560139	0.013482574	0.087184157	0.024102079	0.054363607	0	0.030612245	0.002302379	-0.0015625	0.074321588	-0.144821659	0.031497663	0.083072389
3-Apr-00	0.074125874	0.013387521	-0.015761821	0.003249631	-0.016064257	0.007537688	-0.022765728	-0.049724602	0.042120704	-0.006657562	0.060872894	0.010641628	0.014137606	-0.025376884	0.011032309	-0.019387755
4-Apr-00	-0.0234375	-0.005661713	-0.005931198	-0.033274441	-0.02755102	-0.007481297	-0.005194396	-0.00966028	0.027950935	0.031448703	-0.062251895	0.048002478	0.008178439	-0.024748647	-0.008768511	-0.029309747
5-Apr-00	-0.043466667	-0.017319098	-0.014916468	0.001827597	0.011017838	-0.020519263	0.02721519	0.030401561	0.043231612	-0.017994002	-0.004233211	0.022163121	-0.039269912	-0.004229448	0.037939847	0.049490799
6-Apr-00	0.011987733	-0.000482859	0.01211387	-0.012161751	0.013751946	-0.024369389	-0.000770179	-0.027611234	0.053065817	0.003053953	0.01236715	-0.006649321	-0.000959509	0.035572073	-0.008712121	0.006128703
7-Apr-00	-0.021900826	0.043961353	0.062238181	-0.017851647	0.007678526	0.045354952	0.016340373	0.040077884	-0.056089744	-0.00811908	-0.012216072	0.029976717	0.013253938	-0.033581133	-0.022162782	0.033502538
10-Apr-00	0.040135192	-0.05460435	0.027887324	0.01817612	0.028702057	0.025990358	0.016684362	0.010140406	-0.00980947	-0.022510232	0.020096618	0.000847697	0.014218009	-0.025464191	0.013677218	-0.002946955
11-Apr-00	0.024911996	-0.016886931	0.006851192	0.054170514	-0.057283951	0.050868233	0.000745935	-0.02023166	-0.074109354	-0.047103978	-0.024057587	0.000846979	-0.036261682	-0.053620033	0.005011565	-0.014778325
12-Apr-00	-0.002774108	-0.024396316	0.011976048	-0.016642336	-0.020429544	-0.044323484	0.005664878	-0.053121059	-0.022633745	-0.02755401	0.00951087	-0.040338505	0.014352211	-0.001725626	-0.020521672	-0.038166667
13-Apr-00	-0.019472778	-0.013523858	-0.005110274	-0.043646081	-0.009358289	-0.0455655	-0.067447376	-0.035958049	-0.067789474	-0.050738963	-0.026533359	0	-0.034034417	-0.064534716	-0.030546309	-0.084214174
14-Apr-00	-0.048500405	0.029487843	-0.002703433	-0.002173238	-0.003238866	-0.006393862	0.040216182	-0.049732343	0.087398374	0.065351051	-0.066758839	-0.017048795	0.013855899	0.023406221	-0.008079176	-0.018164617
17-Apr-00	-0.057929859	0.014070352	0.021686094	-0.015868077	0.019225562	-0.047833548	0.030867971	0.026167545	0.039667705	-0.003257935	-0.003174603	0.036184211	0.027918782	0.061992176	0.000814498	-0.002312584
18-Apr-00	0.035116805	0.038156591	-0.005306447	0.072083465	0.03639745	-0.010362694	0.005632968	0	-0.023371954	-0.058274188	0.023991507	-0.036652237	0.041595442	-0.023236044	0.017497457	0.01970253
19-Apr-00	-0.001747234	-0.03150358	0	0.075493955	0.032043066	0.024584566	0.002800708	-0.002125022	0.027203927	-0.009520032	-0.031100974	-0.060215698	0.010940919	0.003191181	-0.024195161	0.050198901
20-Apr-00	0.032088681	-0.082060128	-0.093091491	-0.054565396	-0.047193244	0.032215063	-0.011171542	0.015971606	-0.051573078	0.024028835	-0.008773807	-0.016257571	0.031385281	-0.15615963	0.02807377	0.020562771
24-Apr-00	0.032221594	0	-0.017647059	0.029582367	0.005995829	-0.077916487	0.019176453	-0.009432314	0.052907831	0.056315995	-0.033246978	0.003564485	0.007694998	0.041466758	0.016145107	0.01378579
25-Apr-00	0.028066813	0.044295302	-0.008982036	0.024225352	0.046644208	-0.048552754	0.028733956	0.025392347	0.008973081	-0.017771196	0.044439482	-0.03519535	-0.007636237	-0.019743337	-0.022950177	-0.015864714
26-Apr-00	-0.008789453	-0.003084833	0.010574018	-0.00330033	-0.017826195	-0.010058881	0.008790586	-0.028030954	-0.018972332	0.001036562	-0.02073979	0.017402945	-0.006121021	0.026518966	-0.024292311	-0.01789194
27-Apr-00	-0.030095392	0.026817947	-0.01793722	-0.00303532	0.048147215	-0.024535316	0.008713985	-0.039278132	-0.020950846	0.008001506	-0.033624454	0.082894737	-0.027978181	-0.000981033	0	-0.04004329
28-Apr-00	-0.00789583	0.049472627	0.02587519	-0.015776363	-0.037518038	-0.005335366	-0.010032047	-0.006445672	0.02962963	0.00448263	-0.023723452	0.089003645	-0.028059377	0.053027823	-0.033333333	0.046223224
1-May-00	0.003351019	0.052883465	0.06379822	-0.028683915	0.023988006	0.025287356	0.007459536	0.012048193	-0.006794564	-0.005671253	0.022679935	-0.006415621	0.025144347	-0.048803233	-0.051724138	-0.005387931
2-May-00	0.017673254	-0.021363636	-0.020920502	-0.016792125	-0.040751586	0.010463378	-0.056859458	-0.049450549	-0.040241449	-0.029172511	0.032133967	0.003368894	-0.013626453	0.010130719	0.007856341	-0.072769953
3-May-00	-0.021742103	0.002322341	-0.017094017	0.023557126	-0.037903841	0.017751479	0.000592505	-0.027745665	-0.002725367	-0.004622941	-0.024775269	-0.001678791	-0.016393443	-0.001941119	-0.029398664	-0.04556962
4-May-00	0.003913894	-0.03544949	0.013043478	0.03452244	-0.003172924	0.03003876	-0.021761658	0.015457788	0.034895943	0.002322206	-0.013264388	-0.019338565	0.03071161	0.009724473	0.002524094	0.00591716
5-May-00	0.014202172	0.012490992	0.018597997	-0.031701891	0.025198939	-0.011994356	-0.012560533	0.004683841	-0.007718871	0.018727676	-0.014581909	0.021434696	0.008902616	-0.018298555	0.009842069	0.020892495
8-May-00	0.03583196	-0.021826809	-0.050561798	0.001435956	0.00465718	-0.002618424	0.011340996	-0.01981352	-0.021289662	-0.006917464	-0.002543353	0.008114158	-0.01332613	-0.028776978	-0.009292838	0.011921319
9-May-00	-0.013518887	-0.040989571	-0.01035503	-0.033839977	0.007725985	-0.013603819	-0.042582209	0.028537455	-0.049362058	-0.055057252	-0.015762633	-0.048015543	-0.013688629	-0.023905724	-0.006177076	0.069507167
10-May-00	0.002821443	0.01947395	-0.020926756	0.011872959	0.001788909	0.02613114	0.006647673	-0.002119461	0.036743674	0.014036151	-0.029910504	-0.041690962	0.003700962	0.025526043	0.020488029	-0.012116762
11-May-00	0.009914255	0.012900025	0.047328244	-0.003226753	-0.007908163	-0.007309597	0.03081761	0.002123962	0.005093379	0	0.018208303	-0.001825373	-0.001843658	0.013790784	-0.031581322	0.014495447
12-May-00	-0.004643141	0.036982611	-0.002915452	0	0	0.03824228	0.016625991	0.046242775	0.018581081	-0.002389962	0.023128278	0.003352636	0.021980052	0.008294625	0.038900536	0.003297307
15-May-00	0.048114088	-0.02668871	-0.013157895	0.005002943	0.033941887	0.012125372	0.03315829	-0.054143646	0.03358209	0.046116989	0.041948264	0.033414338	0.019880716	0.001645278	0.003363229	0.017527844
16-May-00	0.018692777	-0.031303082	0.06637037	0	0.001243472	-0.003616637	-0.032820215	-0.022196262	-0.060970718	-0.010305344	-0.005144263	0.043797766	-0.016835017	-0.025952694	-0.018100559	-0.027812668
17-May-00	-0.037198852	0.035821643	0.009724924	0.006734993	-0.025086935	0	0.036186186	-0.014336918	0.012601452	-0.016775935	-0.003147482	-0.011264433	0.001982696	-0.022259696	-0.006827492	0.027685493
18-May-00	0.00414884	0.015235792	-0.015685195	-0.018324607	-0.003057325	-0.01792196	-0.028546587	0.001212121	-0.041763341	0.003530104	0.01511051	-0.01651951	0.035617917	-0.01690238	-0.023143905	-0.015265805
19-May-00	-0.018979987	0.038589805	0.025719877	-0.01037037	-0.004344493	-0.006006006	-0.102923628	-0.023002421	-0.027294739	0.026382646	-0.034881138	0.016796988	-0.001737016	-0.013333333	-0.006098991	0.005653839
22-May-00	0.027902079	-0.020412844	-0.006813846	0.015568862	-0.020020534	-0.024169184	-0.043232458	-0.012391574	-0.01674587	-0.017136329	-0.004373849	0.026203361	0.020706456	-0.015647226	-0.028793958	-0.003445774
23-May-00	-0.050576184	-0.003746195	-0.008232711	0.047169811	-0.018858041	-0.002381519	0.011817866	-0.060434964	-0.01703107	0.020922123	0.012947977	-0.003330558	0.011080805	0.037572254	0.014823815	-0.005277525
24-May-00	0.012677006	0.017156287	-0.023242944	-0.012668919	0.012813668	-0.012652184	-0.041566472	-0.005341643	-0.0201358	-0.028462998	-0.020543255	-0.011138959	0.000843028	-0.061977716	-0.01795977	-0.033113794
25-May-00	-0.003329338	-0.028881701	-0.035410765	-0.003421728	0.001581444	-0.016199226	-0.026702509	0.008279257	0.016248507	0.004101562	-0.019109765	-0.021120811	-0.001684636	-0.001113586	0.020970495	-0.018164617
26-May-00	-0.009219669	-0.013799667	-0.004405286	0.034048641	0.050263158	0.015237159	0.020438225	0.007767421	0.053844345	0.037444077	0.003563792	0.028193326	0.005906176	0.031586771	0.016718414	-0.011562922
30-May-00	0.002157788	0.022677925	-0.016224189	-0.012451577	0.007516913	-0.008956669	-0.017502707	0.037216472	-0.034582776	-0.032717728	0.042613636	0.006435367	-0.0011743	-0.0129683	0.006107588	0.07974264
31-May-00	-0.010496568	-0.014626091	0.031484258	0.030260577	-0.010445163	0.003908158	-0.011386593	0.017834395	0.116940143	-0.012211669	0.016121708	-0.009730331	-0.029224051	0.032116788	0.012141023	-0.011014807
1-Jun-00	0.041615667	-0.02250419	-0.024709302	-0.008974708	-0.031414928	0.016545012	-0.017090842	0.075302461	0.058762673	0.026491366	0.032402235	-0.037057833	-0.048442907	0.027227723	0.002076125	0.036151178
2-Jun-00	0.011750881	0.003673769	0.013412817	-0.023600439	0.004670472	-0.006223073	0.024570025	-0.023472357	0.084424467	0.036799847	0.046320346	0.011953353	0.003636364	0.008261618	-0.011740331	0.004229075
